Server,Domain Name,Media Server,Group,Schedule,Client,Job,Proxy,Status,Error Code,Error Code Summary,Status Code,Status Code Summary,Level,Size (GB),Files,Num Files Not Backed Up,Started,Finished,Duration (hour),Throughput (MB/sec),Retention (week),Expires,Owner,Effective Path,Plugin Name,Bytes Modified Sent (GB),Bytes Modified Not Sent (B),Parent Job Id
ozagtb01.otis.com,,ozagtb01.otis.com,Catalog_Full,Full,ozagtb01.otis.com,CATALOG_DRIVEN_BACKUP,,success,0,,,,Full,0.842,3092,,12/25/21 8:38 AM,12/25/21 8:38 AM,37 seconds,23.297,4 weeks 3 days,1/25/22 8:38 AM,root,,Catalog Backup,,,2041
ozagtb01.otis.com,,ozagtb01.otis.com,Catalog_Full,Full,ozagtb01.otis.com,CATALOG_DRIVEN_BACKUP,,success,0,,,,Full,0.843,3232,,12/26/21 8:02 AM,12/26/21 8:03 AM,38 seconds,22.711,4 weeks 3 days,1/26/22 8:03 AM,root,,Catalog Backup,,,2047
ozagtb01.otis.com,,ozagtb01.otis.com,Catalog_Full,Full,ozagtb01.otis.com,D:\Program Files\Veritas\NetBackupDB\staging\DARS_DATA.db,,success,0,,,,Full,0.226,18,,12/26/21 7:59 AM,12/26/21 8:02 AM,2 minutes 46 seconds,1.392,4 weeks 3 days,1/26/22 8:00 AM,SYSTEM,,Catalog Backup,,,2047
ozagtb01.otis.com,,ozagtb01.otis.com,Catalog_Full,,ozagtb01.otis.com,CATALOG_DRIVEN_BACKUP,,success,0,,,,Full,0,,,12/26/21 7:59 AM,12/26/21 8:03 AM,3 minutes 54 seconds,0,4 weeks 3 days,1/26/22 8:00 AM,root,,Catalog Backup,,,
zatvab01.otis.com,,zatvab01.otis.com,All_Unix,Full,oatvaa0l.otis.com,ALL_LOCAL_DRIVES,,success,0,,,,Full,69.69,264478,,12/25/21 1:59 PM,12/25/21 2:58 PM,58 minutes 57 seconds,20.176,4 weeks 3 days,1/25/22 2:00 PM,root,,Backup,,,
zatvab01.otis.com,,zatvab01.otis.com,All_Unix,Full,oatvaa0o.otis.com,ALL_LOCAL_DRIVES,,success,0,,,,Full,41.498,977705,,12/25/21 1:59 PM,12/25/21 7:26 PM,5 hours 27 minutes,2.165,4 weeks 3 days,1/25/22 2:00 PM,root,,Backup,,,
zatvab01.otis.com,,zatvab01.otis.com,All_Unix,Full,oatvad08.otis.com,ALL_LOCAL_DRIVES,,success,0,,,,Full,477.974,424198,,12/25/21 1:59 PM,12/25/21 6:37 PM,4 hours 37 minutes,29.387,4 weeks 3 days,1/25/22 2:00 PM,root,,Backup,,,
zatvab01.otis.com,,zatvab01.otis.com,All_Unix,Full,oatvad0d.otis.com,ALL_LOCAL_DRIVES,,success,0,,,,Full,5.917,76570,,12/25/21 1:59 PM,12/25/21 2:08 PM,8 minutes 11 seconds,12.34,4 weeks 3 days,1/25/22 2:00 PM,root,,Backup,,,
zatvab01.otis.com,,zatvab01.otis.com,All_Windows_2016,Full,oatvaa0t.otis.com,ALL_LOCAL_DRIVES,,success,0,,,,Full,121.872,2040430,,12/25/21 8:59 AM,12/25/21 2:17 PM,5 hours 18 minutes,6.539,4 weeks 3 days,1/25/22 9:00 AM,root,,Backup,,,
zatvab01.otis.com,,zatvab01.otis.com,All_Windows_2016,Full,oatvaa0u.otis.com,ALL_LOCAL_DRIVES,,success,0,,,,Full,147.815,1396648,,12/25/21 8:59 AM,12/25/21 4:24 PM,7 hours 24 minutes,5.67,4 weeks 3 days,1/25/22 9:00 AM,root,,Backup,,,
zatvab01.otis.com,,zatvab01.otis.com,All_Windows_2016,Full,oatvaa0v.otis.com,ALL_LOCAL_DRIVES,,success,0,,,,Full,246.178,732626,,12/25/21 8:59 AM,12/25/21 3:51 PM,6 hours 51 minutes,10.222,4 weeks 3 days,1/25/22 9:00 AM,root,,Backup,,,
zatvab01.otis.com,,zatvab01.otis.com,All_Windows_2016,Full,oatvad0c.otis.com,ALL_LOCAL_DRIVES,,success,0,,,,Full,80.942,404545,,12/25/21 9:00 AM,12/25/21 11:11 AM,2 hours 11 minutes,10.48,4 weeks 3 days,1/25/22 9:00 AM,root,,Backup,,,
zatvab01.otis.com,,zatvab01.otis.com,All_Windows_2016,Full,oatvat07.otis.com,ALL_LOCAL_DRIVES,,success,0,,,,Full,145.531,542164,,12/25/21 8:59 AM,12/25/21 1:38 PM,4 hours 39 minutes,8.902,4 weeks 3 days,1/25/22 9:00 AM,root,,Backup,,,
zatvab01.otis.com,,zatvab01.otis.com,All_Windows_2016,Full,oatvat08.otis.com,ALL_LOCAL_DRIVES,,success,0,,,,Full,111.751,510480,,12/25/21 8:59 AM,12/25/21 1:13 PM,4 hours 13 minutes,7.523,4 weeks 3 days,1/25/22 9:00 AM,root,,Backup,,,
zatvab01.otis.com,,zatvab01.otis.com,All_Windows_2016,Full,oatvat09.otis.com,ALL_LOCAL_DRIVES,,success,0,,,,Full,124.961,451579,,12/25/21 9:00 AM,12/25/21 12:54 PM,3 hours 54 minutes,9.098,4 weeks 3 days,1/25/22 9:00 AM,root,,Backup,,,
zatvab01.otis.com,,zatvab01.otis.com,All_Windows_2016,Full,oatvaw06.otis.com,ALL_LOCAL_DRIVES,,success,0,,,,Full,149.667,464006,,12/25/21 8:59 AM,12/25/21 1:50 PM,4 hours 50 minutes,8.799,4 weeks 3 days,1/25/22 9:00 AM,root,,Backup,,,
